"school","year","tuition","full"
"Claremont McKenna College","2013","45625","62010"
"Harvey Mudd College","2013","46509","63860"
"Pitzer College","2013","45018","61416"
"Pomona College","2013","43580","59730"
"Scripps College","2013","45564","61370"
"Claremont McKenna College","2014","47395","64215"
"Harvey Mudd College","2014","48594","66627"
"Pitzer College","2014","47020","63750"
"Pomona College","2014","45832","62632"
"Scripps College","2014","47378","63740"
"Claremont McKenna College","2015","49045","66325"
"Harvey Mudd College","2015","50649","69355"
"Pitzer College","2015","48670","65880"
"Pomona College","2015","47620","64870"
"Scripps College","2015","49152","66060"
"Claremont McKenna College","2016","50945","69385"
"Harvey Mudd College","2016","52666","71917"
"Pitzer College","2016","50430","68192"
"Pomona College","2016","49352","67357"
"Scripps College","2016","50982","68464"
"Claremont McKenna College","2017","52825","71745"
"Harvey Mudd College","2017","54636","74428"
"Pitzer College","2017","52236","70500"
"Pomona College","2017","51075","69725"
"Scripps College","2017","52966","71060"
"Claremont McKenna College","2018","54405","73810"
"Harvey Mudd College","2018","56620","76947"
"Pitzer College","2018","54056","72900"
"Pomona College","2018","52780","71996"
"Scripps College","2018","55024","73756"
"Claremont McKenna College","2019","56475","76475"
"Harvey Mudd College","2019","58660","79539"
"Pitzer College","2019","56018","75850"
"Pomona College","2019","54762","74480"
"Scripps College","2019","57188","77588"
"Claremont McKenna College","2020","56475","76475"
"Harvey Mudd College","2020","58660","79539"
"Pitzer College","2020","55878","76808"
"Pomona College","2020","54774","75094"
"Scripps College","2020","57188","78274"
"Claremont McKenna College","2021","58111","78717"
"Harvey Mudd College","2021","60703","82236"
"Pitzer College","2021","57978","79558"
"Pomona College","2021","56686","77710"
"Scripps College","2021","58442","80240"
"Claremont McKenna College","2022","60715","82127"
"Harvey Mudd College","2022","62817","84896"
"Pitzer College","2022","60578","82832"
"Pomona College","2022","59238","81196"
"Scripps College","2022","60712","83330"
